date | open | high | low | close | volume | Name
2/8/13 | 261.4 | 265.25 | 260.555 | 261.95 | 3879078 | AMZN
2/11/13 | 263.2 | 263.25 | 256.6 | 257.21 | 3403403 | AMZN
2/12/13 | 259.19 | 260.16 | 257 | 258.7 | 2938660 | AMZN
2/13/13 | 261.53 | 269.96 | 260.3 | 269.47 | 5292996 | AMZN
2/14/13 | 267.37 | 270.65 | 265.4 | 269.24 | 3462780 | AMZN
2/15/13 | 267.63 | 268.92 | 263.11 | 265.09 | 3979832 | AMZN
2/8/13 | 67.7142 | 68.4014 | 66.8928 | 67.8542 | 158168416 | AAPL
2/11/13 | 68.0714 | 69.2771 | 67.6071 | 68.5614 | 129029425 | AAPL
2/12/13 | 68.5014 | 68.9114 | 66.8205 | 66.8428 | 151829363 | AAPL
2/13/13 | 66.7442 | | 66.1742 | | 118721995 | AAPL
2/14/13 | 66.3599 | 67.3771 | 66.2885 | 66.6556 | 88809154 | AAPL
2/15/13 | 66.9785 | 67.1656 | 65.7028 | 65.7371 | 97924631 | AAPL
